ind_unique,hhid,indid,s1q2,s1q5,s2q7a,s2q8,s2q18,s2q11,s2q12,s2q13,s4q1,s4q2,s4q3,s4q4,s4q5,s4q6,s4q7,s4q8,s4q9,s5q1,s5q2,s5q3,s5q4,s5q5,s5q6,s5q7,s5q8,s5q9,s5q10,s5q11,s5q12,s5q13_1,s5q13_2,s5q13_3,s5q14,s5q14_b,s5q15,s5q16,s5q17,s5q18,s5q19,s5q20,s5q21,s5q22,s5q23,s5q24,s5q25,s9q2,s9q2_a,s9q3,s9q3_a,s9q4,s9q5,s9q6,s9q7,hhsize,famnum,famsize,speak_arabic,speak_english,speak_swahili,speak_other,read_arabic,read_english,read_swahili,read_other,write_arabic,write_english,write_swahili,write_other,weight
"001402","0014","02","Village 1","Yes","No","No","No","Male","20 to 24","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"Yes – some difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes","yes",,"yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"001403","0014","03","Village 1","Yes","No","No","No","Female","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,"yes",,,,,,,,,,5.5571685
"001404","0014","04","Village 1","Yes","No","No","No","Male","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes","yes","yes","yes",,"yes",,,,"yes",,,5.5571685
"001405","0014","05","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,"yes","yes",,,,,,,,,5.5571685
"001406","0014","06","Village 1","Yes","No","No","No","Female","05 to 09","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
"001407","0014","07","Village 1","Yes","No","No","No","Male","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
"001408","0014","08","Village 1","Yes","No","No","No","Female","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
"001409","0014","09","Village 1","Yes","No","No","No","Male","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
"001410","0014","10","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,,,,,,,,,,,,,5.5571685
"001411","0014","11","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,,,,,,,,,,,,,5.5571685
"001412","0014","12","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",14,1,14,,,,,,,,,,,,,5.5571685
"001413","0014","13","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,14,,,,,,,,,,,,,5.5571685
"001414","0014","14","Village 1","Yes","No","No","No","Female","50 to 54","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Housewife / family responsibilities",,"Would not be available","Don’t need work",,,"No – no difficulty",,"No – no difficulty",,"Yes – some difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",14,1,14,"yes",,,"yes",,,,,,,,,5.5571685
"001501","0015","01","Village 1","Yes","Yes","Yes","Yes","Male","25 to 29","Burundi","Yes","No",,"Secondary","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,1,"Local NGO / CBO","No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",2,1,1,,"yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"001502","0015","02","Village 1","Yes","Yes","No","No","Female","20 to 24","Burundi","Yes","No",,"Secondary","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",2,2,1,,,"yes","yes",,,"yes","yes",,,"yes","yes",5.5571685
"002101","0021","01","Village 1","Yes","Yes","Yes","Yes","Male","25 to 29","DR Congo","Yes","Yes","Secondary",,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,,,"yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"002102","0021","02","Village 1","Yes","No","No","No","Female","25 to 29","DR Congo","No",,,,"Yes","No","No","No","No","No","No","Yes","No","Yes","No",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,,,"yes","yes",,,,,,,,,5.5571685
"002103","0021","03","Village 1","Yes","No","No","No","Male","15 to 19","DR Congo","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No","No","No","Yes","No","No","No",,,,,,,,,,,,,,,,,,,,,0,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,,,"yes","yes",,"yes",,"yes",,"yes",,"yes",5.5571685
"002104","0021","04","Village 1","Yes","No","No","No","Male","10 to 14","DR Congo","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,,"yes","yes",,,"yes",,,,"yes",,,5.5571685
"002105","0021","05","Village 1","Yes","No","No","No","Male","05 to 09","DR Congo","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",6,1,6,"yes",,"yes",,,,,,,,,,5.5571685
"002106","0021","06","Village 1","Yes","No","No","No","Female","00 to 04","DR Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,6,,,,,,,,,,,,,5.5571685
"002501","0025","01","Village 1","Yes","Yes","Yes","Yes","Male","35 to 39","Burundi","Yes","No",,"Secondary","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No",,,,,,,,,,,,,,,,,,,,,1,"Informal Sector (Employed)","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",1,1,1,,"yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"003101","0031","01","Village 1","Yes","Yes","Yes","Yes","Male","20 to 24","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No",,,,,,,,,,,,,,,,,,,,,1,"Other","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",4,1,4,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"003102","0031","02","Village 1","Yes","No","No","No","Female","20 to 24","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,"No","No",,,,,,"No","Yes",,,,"Other (specify)",,"More than 1 week but less than 2 weeks","No jobs available in the area",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",4,1,4,"yes",,,"yes",,,,,,,,,5.5571685
"003103","0031","03","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",4,1,4,"yes",,,"yes",,,,,,,,,5.5571685
"003104","0031","04","Village 1","Yes","No","No","No","Male","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,,,,,,,,,,,,,5.5571685
"003301","0033","01","Village 1","Yes","Yes","Yes","Yes","Male","25 to 29","South Sudan","Yes","No",,"Primary","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No",,,,,,,,,,,,,,,,,,,,,1,"International NGOs","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",2,1,2,"yes","yes",,"yes",,"yes",,"yes",,"yes",,"yes",5.5571685
"003302","0033","02","Village 1","Yes","No","No","No","Male","20 to 24","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",2,1,2,"yes","yes",,"yes",,"yes",,,,"yes",,,5.5571685
"003401","0034","01","Village 1","Yes","Yes","Yes","Yes","Female","45 to 49","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Housewife / family responsibilities",,"Would not be available","Unable to work (incapacitated)",,,"No – no difficulty",,"Yes – some difficulty","No","Yes – some difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes",,,,,,,,,5.5571685
"003402","0034","02","Village 1","Yes","No","No","No","Male","20 to 24","South Sudan","Yes","Yes","Secondary",,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"Yes",,"Looked at job advertisements","Other passive (specify)","None (including because in school or too young)","Full time student / pupil",2,"In 2 to 4 weeks",,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"003403","0034","03","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No",,,,,,,,,,,,,,,,,,,,,1,"Small Scale Agriculture (Self-Employed)","No – no difficulty",,"No – no difficulty",,"No – no difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"003404","0034","04","Village 1","Yes","No","No","No","Female","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes",,"yes",,,,,,,,,5.5571685
"003405","0034","05","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Housewife / family responsibilities",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes",,,,"yes",,,,"yes",5.5571685
"003901","0039","01","Village 1","Yes","No","Yes","No","Male","35 to 39","South Sudan","No",,,,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","Yes",,,,"Housewife / family responsibilities",,"Less than 1 week","No jobs available in the area",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes",,"yes",,"yes",,"yes",,"yes",,"yes",5.5571685
"003902","0039","02","Village 1","Yes","Yes","No","Yes","Female","25 to 29","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Housewife / family responsibilities",,"Less than 1 week","Home maker (housewife/family responsibilities)",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes",,,,,,,,,5.5571685
"003903","0039","03","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes",,,,,,,,,5.5571685
"003904","0039","04","Village 1","Yes","No","No","No","Male","05 to 09","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes",,,,,,,,,5.5571685
"003905","0039","05","Village 1","Yes","No","No","No","Female","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,,,,,,,,,,,,,5.5571685
"004201","0042","01","Village 1","Yes","Yes","Yes","Yes","Female","60 or more","South Sudan","No",,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Other (specify)",,"Would not be available","Don’t need work",,,"Yes – a lot of difficulty","No","No – no difficulty",,"Yes – some difficulty","Yes – some difficulty","No – no difficulty","No – no difficulty",3,1,3,"yes",,,"yes",,,,,,,,,5.5571685
"004202","0042","02","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",3,1,3,"yes",,"yes","yes",,,,,,,,,5.5571685
"004203","0042","03","Village 1","Yes","No","No","No","Male","10 to 14","South Sudan","Yes","Yes","Early childhood education",,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",3,1,3,"yes",,,"yes",,,,,,,,,5.5571685
"004601","0046","01","Village 1","Yes","Yes","Yes","Yes","Male","25 to 29","South Sudan","Yes","No",,"Secondary","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,,1,"International NGOs","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes","yes","yes","yes","yes",,"yes","yes","yes",,"yes",5.5571685
"004602","0046","02","Village 1","Yes","No","No","No","Female","20 to 24","South Sudan","Yes","No",,"Primary","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Family/community responsibilities",,,"No","Not returning","No","No",,,,"Housewife / family responsibilities",,"Would not be available","Child care problems",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes","yes","yes","yes",,,"yes","yes",,,"yes",5.5571685
"004603","0046","03","Village 1","Yes","No","No","No","Female","10 to 14","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes","yes","yes","yes","yes","yes","yes",,,"yes",,,5.5571685
"004604","0046","04","Village 1","Yes","No","No","No","Female","05 to 09","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,"yes",,,"yes","yes",,,"yes","yes",,,"yes",5.5571685
"004605","0046","05","Village 1","Yes","No","No","No","Male","00 to 04","South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",5,1,5,,,,,,,,,,,,,5.5571685
"005001","0050","01","Village 1","Yes","No","No","No","Female","60 or more","South Sudan","No",,,,"Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes – a lot of difficulty","No","Yes – some difficulty","No","Yes – a lot of difficulty","Yes – some difficulty","No – no difficulty","Yes – some difficulty",11,1,11,"yes",,,"yes",,,,,,,,,5.5571685
"005002","0050","02","Village 1","Yes","No","No","No","Male","30 to 44","South Sudan","Yes","Yes","Other",,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No",,,,,,,,,,,,,,,,,,,,,1,"United Nations Agency","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",11,1,11,"yes","yes",,"yes","yes","yes",,"yes",,"yes",,"yes",5.5571685
"005003","0050","03","Village 1","Yes","Yes","Yes","Yes","Female","25 to 29","South Sudan","Yes","No",,"University","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,,1,"International NGOs","No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",11,1,11,"yes","yes","yes","yes",,"yes","yes","yes",,"yes","yes","yes",5.5571685
"005004","0050","04","Village 1","Yes","No","No","No","Male","15 to 19","South Sudan","Yes","Yes","Primary",,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,"No","No",,,,"Full time student / pupil",,"Would not be available","Full time student / pupil",,,"No – no difficulty",,"No – no difficulty",,"No – no difficulty","No – no difficulty","No – no difficulty","No – no difficulty",11,1,11,"yes","yes",,"yes",,"yes",,"yes",,"yes",,"yes",5.5571685
