hhid,s1q2,hhsize,hhmod,mod_opt,item_name,g_recall,s12q9,s12q10,s12q11,nfcons_value,nfcons_value_capita,weight,popweight
"0010","Village 1",5,1,"core","PLATES/BOWLS","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","MATCH BOX","1 month","Yes",11.6667,"Yes",11.66667,2.333333,5.557168,27.78584
"0010","Village 1",5,1," option 1","MATERIAL FOR MEN'S CLOTHING","3 months","Yes",155.556,"Yes",155.5556,31.11111,5.557168,27.78584
"0010","Village 1",5,1,"core","BOY'S SHIRT/ T SHIRT","3 months","Yes",38.8889,"Yes",38.88889,7.777778,5.557168,27.78584
"0010","Village 1",5,1," option 1","BOY'S SANDALS (AKALAS)","3 months","Yes",23.3333,"Yes",23.33333,4.666667,5.557168,27.78584
"0010","Village 1",5,1," option 1","BOY'S SUIT","3 months","Yes",38.8889,"Yes",38.88889,7.777778,5.557168,27.78584
"0010","Village 1",5,1,"core","COLD TABLETS/COUGH SYRUP/TONIC","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","BROOM/MOP/DUSTER","1 month","Yes",7,"Yes",7,1.4,5.557168,27.78584
"0010","Village 1",5,1,"core","HAIR DRESSING","1 month","Yes",46.6667,"Yes",46.66667,9.333334,5.557168,27.78584
"0010","Village 1",5,1," option 1","FRYING PANS","1 year","No",,"Yes",,,5.557168,27.78584
"0010","Village 1",5,1,"core","KNIVES/SPOONS/FORKS/COOKING STICKS","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","COMB/ TOOTH BRUSH","1 month","Yes",11.6667,"Yes",11.66667,2.333333,5.557168,27.78584
"0010","Village 1",5,1,"core","MEN'S T-SHIRTS","3 months","Yes",38.8889,"Yes",38.88889,7.777778,5.557168,27.78584
"0010","Village 1",5,1,"core","MEN'S SHIRT","3 months","Yes",19.4444,"Yes",19.44444,3.888889,5.557168,27.78584
"0010","Village 1",5,1,"core","ANTI-MALARIA DRUGS","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1," option 1","SHORTS (BAMUDA)","3 months","Yes",15.5556,"Yes",15.55556,3.111111,5.557168,27.78584
"0010","Village 1",5,1,"core","ANTIBIOTICS","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1," option 1","GIRLS UNDERWEAR","3 months","Yes",11.6667,"Yes",11.66667,2.333333,5.557168,27.78584
"0010","Village 1",5,1,"core","WOMEN'S DRESS","3 months","Yes",116.667,"Yes",116.6667,23.33333,5.557168,27.78584
"0010","Village 1",5,1,"core","LAUNDRY SOAP/BAR SOAP","1 month","Yes",46.6667,"Yes",46.66667,9.333334,5.557168,27.78584
"0010","Village 1",5,1,"core","DEWORMERS","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","ANTI- TYPHOID, AMOEBICIDES","1 month","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","GIRL'S SHIRT/BLOUSE","3 months","Yes",19.4444,"Yes",19.44444,3.888889,5.557168,27.78584
"0010","Village 1",5,1,"core","GIRL'S SKIRTS","3 months","Yes",15.5556,"Yes",15.55556,3.111111,5.557168,27.78584
"0010","Village 1",5,1,"core","BABY OIL","1 month","Yes",35,"Yes",35,7,5.557168,27.78584
"0010","Village 1",5,1," option 1","HANDBAGS (LADIES)","1 month","Yes",46.6667,"Yes",46.66667,9.333334,5.557168,27.78584
"0010","Village 1",5,1,"core","WOMEN'S UNDERPANTS/ BIKERS","3 months","Yes",11.6667,"Yes",11.66667,2.333333,5.557168,27.78584
"0010","Village 1",5,1,"core","BUCKETS/BASINS","1 year","Yes",2.88264,"Yes",2.882636,.5765271,5.557168,27.78584
"0010","Village 1",5,1,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,27.78584
"0010","Village 1",5,1,"core","CUPS /GLASSES","1 year","Yes",2.30611,"Yes",2.306108,.4612217,5.557168,27.78584
"0011","Village 1",6,2,"option 2","MANUAL SHAVERS AND RAZORS","1 month","Yes",2.33333,"Yes",2.333333,.3888889,5.557168,33.34301
"0011","Village 1",6,2,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,33.34301
"0011","Village 1",6,2,"core","COMB/ TOOTH BRUSH","1 month","Yes",7,"Yes",7,1.166667,5.557168,33.34301
"0011","Village 1",6,2,"core","MATCH BOX","1 month","Yes",2.33333,"Yes",2.333333,.3888889,5.557168,33.34301
"0011","Village 1",6,2,"option 2","SANDALS (AKALAS)","3 months","Yes",23.3333,"Yes",23.33333,3.888889,5.557168,33.34301
"0011","Village 1",6,2,"core","TOOTH PASTE/MOUTH WASH","1 month","Yes",7,"Yes",7,1.166667,5.557168,33.34301
"0011","Village 1",6,2,"core","BUCKETS/BASINS","1 year","Yes",2.88264,"Yes",2.882636,.4804393,5.557168,33.34301
"0011","Village 1",6,2,"core","CUPS /GLASSES","1 year","Yes",3.84351,"No",3.843514,.6405857,5.557168,33.34301
"0011","Village 1",6,2,"core","CARPETS AND MATS","1 year","Yes",5.76527,"Yes",5.765271,.9608786,5.557168,33.34301
"0011","Village 1",6,2,"option 2","MEN'S PAJAMAS","3 months","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0011","Village 1",6,2,"option 2","GARBAGE AND REFUSE COLLECTION","1 month","No",,"Yes",,,5.557168,33.34301
"0011","Village 1",6,2,"core","BROOM/MOP/DUSTER","1 month","Yes",4.66667,"Yes",4.666667,.7777777,5.557168,33.34301
"0011","Village 1",6,2,"core","HAIR OIL/CREAM","1 month","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0011","Village 1",6,2,"option 2","SPORTS/GAMES/GYMNASIUM/FITNESS","1 month","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0012","Village 1",6,1,"core","ANTIBIOTICS","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","BLANKETS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","MATERIAL FOR WOMEN'S CLOTHING","3 months","Yes",35,"No",35,5.833333,5.557168,33.34301
"0012","Village 1",6,1,"core","TORCHES","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","COMB/ TOOTH BRUSH","1 month","Yes",4.66667,"Yes",4.666667,.7777777,5.557168,33.34301
"0012","Village 1",6,1,"core","WOMEN'S SHOES - CANVAS/RUBBER","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0012","Village 1",6,1,"core","BROOM/MOP/DUSTER","1 month","Yes",7,"Yes",7,1.166667,5.557168,33.34301
"0012","Village 1",6,1,"core","CUPS /GLASSES","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","ANTI-MALARIA DRUGS","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","PETROLEUM JELLY","1 month","Yes",23.3333,"Yes",23.33333,3.888889,5.557168,33.34301
"0012","Village 1",6,1," option 1","FRYING PANS","1 year","No",,"Yes",,,5.557168,33.34301
"0012","Village 1",6,1,"core","COOKING SUFURIAS/COOKING POTS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","WATER- WATER SERVICE PROVIDER","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1," option 1","VITAMINS","1 month","No",,"Yes",,,5.557168,33.34301
"0012","Village 1",6,1,"core","COLD TABLETS/COUGH SYRUP/TONIC","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","GIRL'S SHOES - CANVAS/RUBBER","3 months","Yes",70,"No",70,11.66667,5.557168,33.34301
"0012","Village 1",6,1,"core","BARBER SERVICES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","CARPETS AND MATS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","ANTI- TYPHOID, AMOEBICIDES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","TAILORING COST FOR CLOTHES/REP","3 months","Yes",7.77778,"No",7.777778,1.296296,5.557168,33.34301
"0012","Village 1",6,1,"core","PLATES/BOWLS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","BED SHEETS/BED COVERS/PILLOW CASES","1 year","Yes",5.76527,"No",5.765271,.9608786,5.557168,33.34301
"0012","Village 1",6,1,"core","FEVER/PAIN KILLERS E.G. PARACETAMOL","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","DETERGENTS","1 month","Yes",35,"Yes",35,5.833333,5.557168,33.34301
"0012","Village 1",6,1,"core","VACCINES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0012","Village 1",6,1,"core","WOMEN'S SHOE-PLASTICS","3 months","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0012","Village 1",6,1,"core","KANGA /KIKOI","3 months","Yes",31.1111,"No",31.11111,5.185185,5.557168,33.34301
"0012","Village 1",6,1,"core","MATCH BOX","1 month","Yes",4.66667,"Yes",4.666667,.7777777,5.557168,33.34301
"0012","Village 1",6,1," option 1","BOY'S SANDALS (AKALAS)","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0014","Village 1",14,3,"core","MATCH BOX","1 month","Yes",2.33333,"Yes",2.333333,.1666667,5.557168,77.80036
"0014","Village 1",14,3,"option 3","HEADSQUARE/HEADSCARF/HIJABU","3 months","Yes",23.3333,"No",23.33333,1.666667,5.557168,77.80036
"0014","Village 1",14,3,"core","GIRL'S SKIRTS","3 months","Yes",15.5556,"No",15.55556,1.111111,5.557168,77.80036
"0014","Village 1",14,3,"core","WOMEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",46.6667,"Yes",46.66667,3.333333,5.557168,77.80036
"0014","Village 1",14,3,"core","BUCKETS/BASINS","1 year","Yes",1.92176,"Yes",1.921757,.1372683,5.557168,77.80036
"0014","Village 1",14,3,"option 3","MEN'S SANDALS (AKALAS)","3 months","Yes",46.6667,"No",46.66667,3.333333,5.557168,77.80036
"0014","Village 1",14,3,"core","TOOTH PASTE/MOUTH WASH","1 month","Yes",23.3333,"No",23.33333,1.666667,5.557168,77.80036
"0015","Village 1",2,1," option 1","SHORTS (BAMUDA)","3 months","Yes",11.6667,"No",11.66667,5.833333,5.557168,11.11434
"0015","Village 1",2,1," option 1","HANDBAGS (LADIES)","1 month","Yes",46.6667,"No",46.66667,23.33333,5.557168,11.11434
"0015","Village 1",2,1," option 1","MEN'S UNDERWEAR/BOXERS","3 months","Yes",11.6667,"No",11.66667,5.833333,5.557168,11.11434
"0015","Village 1",2,1,"core","BARBER SERVICES","1 month","Yes",11.6667,"No",11.66667,5.833333,5.557168,11.11434
"0015","Village 1",2,1,"core","COOKING SUFURIAS/COOKING POTS","1 year","Yes",3.84351,"No",3.843514,1.921757,5.557168,11.11434
"0015","Village 1",2,1,"core","VACCINES","1 month","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1,"core","BODY LOTION","1 month","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1," option 1","MATERIAL FOR MEN'S CLOTHING","3 months","Yes",116.667,"No",116.6667,58.33333,5.557168,11.11434
"0015","Village 1",2,1,"core","COMB/ TOOTH BRUSH","1 month","Yes",9.33333,"No",9.333333,4.666667,5.557168,11.11434
"0015","Village 1",2,1,"core","WOMEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1," option 1","MEN'S SOCKS","3 months","Yes",3.88889,"No",3.888889,1.944444,5.557168,11.11434
"0015","Village 1",2,1,"core","KNIVES/SPOONS/FORKS/COOKING STICKS","1 year","Yes",.960879,"No",.9608785,.4804392,5.557168,11.11434
"0015","Village 1",2,1,"core","FEVER/PAIN KILLERS E.G. PARACETAMOL","1 month","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,11.11434
"0015","Village 1",2,1,"core","TORCHES","1 year","Yes",1.92176,"No",1.921757,.9608785,5.557168,11.11434
"0015","Village 1",2,1,"core","BUCKETS/BASINS","1 year","Yes",3.84351,"No",3.843514,1.921757,5.557168,11.11434
"0015","Village 1",2,1,"core","MATTRESSES","1 year","Yes",76.8703,"No",76.87029,38.43514,5.557168,11.11434
"0015","Village 1",2,1,"core","WOMEN'S SKIRTS","3 months","Yes",15.5556,"No",15.55556,7.777778,5.557168,11.11434
"0015","Village 1",2,1,"core","BOY'S TROUSERS/SHORTS","3 months","Yes",15.5556,"No",15.55556,7.777778,5.557168,11.11434
"0015","Village 1",2,1,"core","MATCH BOX","1 month","Yes",2.33333,"No",2.333333,1.166667,5.557168,11.11434
"0015","Village 1",2,1," option 1","WOMEN'S BRASSIERS(BRA)","3 months","Yes",7.77778,"No",7.777778,3.888889,5.557168,11.11434
"0015","Village 1",2,1,"core","MEN'S SHIRT","3 months","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1,"core","WOMEN'S SHOES - LEATHER","3 months","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0015","Village 1",2,1,"core","MATERIAL FOR WOMEN'S CLOTHING","3 months","Yes",116.667,"No",116.6667,58.33333,5.557168,11.11434
"0021","Village 1",6,1,"core","COMB/ TOOTH BRUSH","1 month","Yes",7,"Yes",7,1.166667,5.557168,33.34301
"0021","Village 1",6,1,"core","WOMEN'S BLOUSES(TOP)","3 months","Yes",3.88889,"No",3.888889,.6481481,5.557168,33.34301
"0021","Village 1",6,1,"core","KNIVES/SPOONS/FORKS/COOKING STICKS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1," option 1","BOY'S UNDERWEAR","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0021","Village 1",6,1,"core","MEN'S SHIRT","3 months","Yes",15.5556,"No",15.55556,2.592592,5.557168,33.34301
"0021","Village 1",6,1,"core","CURTAINS AND ACCESSORIES","1 year","Yes",3.84351,"No",3.843514,.6405857,5.557168,33.34301
"0021","Village 1",6,1,"core","BODY LOTION","1 month","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","CARPETS AND MATS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","COLD TABLETS/COUGH SYRUP/TONIC","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","HAIR DRESSING","1 month","Yes",35,"No",35,5.833333,5.557168,33.34301
"0021","Village 1",6,1,"core","TAILORING COST FOR CLOTHES/REP","3 months","Yes",38.8889,"No",38.88889,6.481482,5.557168,33.34301
"0021","Village 1",6,1,"core","TOOTH PASTE/MOUTH WASH","1 month","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1," option 1","WOMEN'S BRASSIERS(BRA)","3 months","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","BOY'S TROUSERS/SHORTS","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0021","Village 1",6,1,"core","MEN'S TROUSERS","3 months","Yes",38.8889,"No",38.88889,6.481482,5.557168,33.34301
"0021","Village 1",6,1,"core","CUPS /GLASSES","1 year","Yes",1.92176,"No",1.921757,.3202928,5.557168,33.34301
"0021","Village 1",6,1,"core","NAPKINS/DIAPERS/PULLUPS FOR INFANTS","1 month","Yes",7,"No",7,1.166667,5.557168,33.34301
"0021","Village 1",6,1,"core","BROOM/MOP/DUSTER","1 month","Yes",7,"Yes",7,1.166667,5.557168,33.34301
"0021","Village 1",6,1,"core","WOMEN'S DRESS","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0021","Village 1",6,1,"core","WEAVES, WIGS AND HAIRPIECE","1 month","Yes",18.6667,"No",18.66667,3.111111,5.557168,33.34301
"0021","Village 1",6,1," option 1","MEN'S UNDERWEAR/BOXERS","3 months","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","BOY'S SHIRT/ T SHIRT","3 months","Yes",15.5556,"No",15.55556,2.592592,5.557168,33.34301
"0021","Village 1",6,1," option 1","FACE MAKE-UPS","1 month","Yes",35,"No",35,5.833333,5.557168,33.34301
"0021","Village 1",6,1,"core","CONTRACEPTIVES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","BABY OIL","1 month","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","WATER- VENDORS","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1," option 1","MEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",38.8889,"No",38.88889,6.481482,5.557168,33.34301
"0021","Village 1",6,1,"core","HAIR OIL/CREAM","1 month","Yes",11.6667,"Yes",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1," option 1","FRYING PANS","1 year","No",,"Yes",,,5.557168,33.34301
"0021","Village 1",6,1," option 1","BOY'S SANDALS (AKALAS)","3 months","Yes",35,"Yes",35,5.833333,5.557168,33.34301
"0021","Village 1",6,1,"core","VACCINES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","ANTI- TYPHOID, AMOEBICIDES","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","FEVER/PAIN KILLERS E.G. PARACETAMOL","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1," option 1","SHORTS (BAMUDA)","3 months","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","ANTIBIOTICS","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","MATCH BOX","1 month","Yes",4.66667,"Yes",4.666667,.7777777,5.557168,33.34301
"0021","Village 1",6,1,"core","WOMEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"Yes",23.33333,3.888889,5.557168,33.34301
"0021","Village 1",6,1," option 1","VITAMINS","1 month","No",,"Yes",,,5.557168,33.34301
"0021","Village 1",6,1,"core","DEWORMERS","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","MATERIAL FOR WOMEN'S CLOTHING","3 months","Yes",155.556,"No",155.5556,25.92593,5.557168,33.34301
"0021","Village 1",6,1," option 1","MATERIAL FOR MEN'S CLOTHING","3 months","Yes",155.556,"No",155.5556,25.92593,5.557168,33.34301
"0021","Village 1",6,1,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","WATER- WATER SERVICE PROVIDER","1 month","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1," option 1","BEAUTY SERVICES","1 month","Yes",46.6667,"No",46.66667,7.777778,5.557168,33.34301
"0021","Village 1",6,1,"core","PLATES/BOWLS","1 year","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","PETROLEUM JELLY","1 month","Yes",23.3333,"Yes",23.33333,3.888889,5.557168,33.34301
"0021","Village 1",6,1,"core","GIRL'S SKIRTS","3 months","Yes",4.66667,"No",4.666667,.7777777,5.557168,33.34301
"0021","Village 1",6,1,"core","BARBER SERVICES","1 month","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","ANTI-MALARIA DRUGS","1 month","Yes",11.6667,"No",11.66667,1.944445,5.557168,33.34301
"0021","Village 1",6,1,"core","WOMEN'S UNDERPANTS/ BIKERS","3 months","No",,"Yes",0,0,5.557168,33.34301
"0021","Village 1",6,1,"core","GIRL'S SHIRT/BLOUSE","3 months","Yes",23.3333,"No",23.33333,3.888889,5.557168,33.34301
"0025","Village 1",1,2,"core","TOILET SOAP","1 month","No",,"Yes",0,0,5.557168,5.557168
"0025","Village 1",1,2,"option 2","MEN'S PAJAMAS","3 months","Yes",15.5556,"No",15.55556,15.55556,5.557168,5.557168
"0025","Village 1",1,2,"option 2","MANUAL SHAVERS AND RAZORS","1 month","No",,"Yes",,,5.557168,5.557168
"0025","Village 1",1,2,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,5.557168
"0025","Village 1",1,2,"core","MATCH BOX","1 month","No",,"Yes",0,0,5.557168,5.557168
"0025","Village 1",1,2,"core","LAUNDRY SOAP/BAR SOAP","1 month","No",,"Yes",0,0,5.557168,5.557168
"0031","Village 1",4,3,"core","INFANT'S CLOTHING","3 months","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"option 3","BOY'S SHOES - CANVAS/RUBBER","3 months","Yes",15.5556,"Yes",15.55556,3.888889,5.557168,22.22867
"0031","Village 1",4,3,"core","WOMEN'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"Yes",23.33333,5.833333,5.557168,22.22867
"0031","Village 1",4,3,"core","BUCKETS/BASINS","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","WOMEN'S UNDERPANTS/ BIKERS","3 months","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","MOSQUITO NET","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","GIRL'S SHOES - CANVAS/RUBBER","3 months","Yes",23.3333,"Yes",23.33333,5.833333,5.557168,22.22867
"0031","Village 1",4,3,"core","PLATES/BOWLS","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","KNIVES/SPOONS/FORKS/COOKING STICKS","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"option 3","GIRL'S RUBBER SANDALS/SLIPPERS","3 months","Yes",23.3333,"Yes",23.33333,5.833333,5.557168,22.22867
"0031","Village 1",4,3,"core","BROOM/MOP/DUSTER","1 month","Yes",4.66667,"Yes",4.666667,1.166667,5.557168,22.22867
"0031","Village 1",4,3,"core","WATER- WATER SERVICE PROVIDER","1 month","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","COLD TABLETS/COUGH SYRUP/TONIC","1 month","Yes",35,"Yes",35,8.75,5.557168,22.22867
"0031","Village 1",4,3,"core","COOKING SUFURIAS/COOKING POTS","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","MATCH BOX","1 month","Yes",2.33333,"Yes",2.333333,.5833333,5.557168,22.22867
"0031","Village 1",4,3,"core","BODY LOTION","1 month","Yes",11.6667,"Yes",11.66667,2.916667,5.557168,22.22867
"0031","Village 1",4,3,"core","BLANKETS","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","WATER- VENDORS","1 month","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","CUPS /GLASSES","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","TORCHES","1 year","No",,"Yes",0,0,5.557168,22.22867
"0031","Village 1",4,3,"core","ANTIBIOTICS","1 month","No",,"Yes",0,0,5.557168,22.22867
"0033","Village 1",2,2,"core","PLATES/BOWLS","1 year","Yes",4.80439,"Yes",4.804393,2.402196,5.557168,11.11434
"0033","Village 1",2,2,"option 2","SPORTS/GAMES/GYMNASIUM/FITNESS","1 month","Yes",46.6667,"No",46.66667,23.33333,5.557168,11.11434
"0033","Village 1",2,2,"core","CARPETS AND MATS","1 year","Yes",21.1393,"Yes",21.13933,10.56966,5.557168,11.11434
"0033","Village 1",2,2,"core","LAUNDRY SOAP/BAR SOAP","1 month","Yes",23.3333,"No",23.33333,11.66667,5.557168,11.11434
"0033","Village 1",2,2,"core","BUCKETS/BASINS","1 year","Yes",2.88264,"Yes",2.882636,1.441318,5.557168,11.11434
"0033","Village 1",2,2,"core","BLANKETS","1 year","Yes",9.60879,"Yes",9.608786,4.804393,5.557168,11.11434
"0033","Village 1",2,2,"option 2","NAIL CUTTER/FILES","1 month","Yes",11.6667,"Yes",11.66667,5.833333,5.557168,11.11434
"0033","Village 1",2,2,"core","WATER- WATER SERVICE PROVIDER","1 month","No",,"Yes",0,0,5.557168,11.11434
"0033","Village 1",2,2,"core","COOKING SUFURIAS/COOKING POTS","1 year","Yes",7.68703,"Yes",7.687028,3.843514,5.557168,11.11434
"0033","Village 1",2,2,"core","WATER- VENDORS","1 month","No",,"Yes",0,0,5.557168,11.11434
"0033","Village 1",2,2,"option 2","SANDALS (AKALAS)","3 months","Yes",38.8889,"Yes",38.88889,19.44444,5.557168,11.11434
"0033","Village 1",2,2,"option 2","MANUAL SHAVERS AND RAZORS","1 month","Yes",2.33333,"No",2.333333,1.166667,5.557168,11.11434
"0033","Village 1",2,2,"option 2","MEN'S VESTS","3 months","Yes",7.77778,"No",7.777778,3.888889,5.557168,11.11434
"0033","Village 1",2,2,"core","BODY LOTION","1 month","Yes",46.6667,"Yes",46.66667,23.33333,5.557168,11.11434
"0033","Village 1",2,2,"core","KNIVES/SPOONS/FORKS/COOKING STICKS","1 year","Yes",1.92176,"Yes",1.921757,.9608785,5.557168,11.11434
"0033","Village 1",2,2,"core","MOSQUITO NET","1 year","Yes",3.84351,"Yes",3.843514,1.921757,5.557168,11.11434
"0033","Village 1",2,2,"core","CUPS /GLASSES","1 year","Yes",3.84351,"Yes",3.843514,1.921757,5.557168,11.11434
