hhid,hhsize,familysize1,familysize2,familysize3,familysize4,familysize5,s1q2,s1q5,s6q1,s6q2,s6q3,s6q4,s6q5,s6q6,s6q7,s6q8,s6q9,s6q11,s6q13,s6q14,s7q1,s7q2,s7q3,s7q4,s7q5,s7q6,s7q7,s7q8,s7q9,s7q10,s7q11,s7q12,s7q13,s7q14,s7q15,s7q16,s7q17,s7q18,s7q19,s7q20,s8q1,s8q2,s8q3,s8q4,s8q4_1,s8q4_2,s8q4_3,s8q5,s8q6,s9q1,s10q1,s10q2,s10q3,s10q4,s10q5,s10q6,s10q7,s10q8,s10q9,s11q1,s11q1_a,s11q2,s11q2_a,s11q3,s11q3_a,s11q4,s11q4_a,s11q5,s11q5_a,s11q6,s11q6_a,s11q7,s11q7_a,s11q8,s11q8_a,s11q9,s11q9_a,s11q10,s11q10_a,crowdindex_room,improved_water,improved_sanitation,LCS_index,asset_idx,hh_fcon,hh_nfcon,hh_con,hh_con2011,hh_con2011_pd,pline_ipl,poorIPL,pgi,spg,weight,popweight
"0039",5,5,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Fire","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No",,"No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No",,"No","Not applicable","Yes",,"More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",.28412864,1585.5179,126.46758,1711.9856,30.295153,.99600506,1.9,"Poor",.47688639,.22742063,5.5571685,27.785843
"0042",3,3,0,0,0,0,"Village 1","Yes",1,1,"Dung","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Disagree","Agree","No","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","Not applicable","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,1649.4357,352.22119,2001.6569,35.421154,1.1645311,1.9,"Poor",.43512669,.18933524,5.5571685,16.671505
"0046",5,5,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","No","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",1.6302972,1507.0281,1069.1609,2576.189,45.588028,1.4987844,1.9,"Poor",.24332565,.05920737,5.5571685,27.785843
"0050",11,11,0,0,0,0,"Village 1","Yes",2,3,"Cement","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","No","Pit latrine without slab / Open pit","No","Battery lamp/Torch/Phone","No",0,"No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",5.4658747,2294.3433,411.09805,2705.4414,47.875267,1.5739814,1.9,"Poor",.18832834,.03546757,5.5571685,61.128853
"0051",9,7,2,0,0,0,"Village 1","Yes",2,2,"Cement","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Solar Energy","No",0,"No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Strongly agree","Agree","Disagree","Neither agree nor disagree","Strongly agree","Disagree","Strongly agree","Agree","Yes","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"Yes",,"No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Emergency",2.6296902,1906.8793,350.52039,2257.3997,39.946758,1.313318,1.9,"Poor",.31311926,.09804367,5.5571685,50.014515
"0057",4,4,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","Yes","Pit latrine with slab","Yes","Fire","No",0,"Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",1.6300581,2942.8672,852.34271,3795.2097,67.159714,2.2079906,1.9,"Non-poor",0,0,5.5571685,22.228674
"0072",8,8,0,0,0,0,"Village 1","Yes",2,2,"Cement","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","No","Pit latrine with slab","No","Paraffin / pressure lamp","No",0,"No","No","No","Yes","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Agree","Agree","Neither agree nor disagree","Yes","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","Yes",,"No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",3.3776617,6126.4609,478.07666,6604.5376,116.87334,3.8424113,1.9,"Non-poor",0,0,5.5571685,44.457348
"0092",9,6,3,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","Yes","Pit latrine without slab / Open pit","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Strongly agree","No","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.88854659,5225.855,1115.7791,6341.6343,112.22103,3.6894586,1.9,"Non-poor",0,0,5.5571685,50.014515
"0095",6,6,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","No","Pit latrine with slab","No","None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Agree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.87213391,1995.7549,41.238537,2036.9934,36.046467,1.1850893,1.9,"Poor",.40278018,.16223186,5.5571685,33.34301
"0101",10,8,2,0,0,0,"Village 1","Yes",1,2,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","No","No facility / Bush / Field",,"Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Disagree","Disagree","Disagree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",2.1058106,3287.2063,1294.9373,4582.1436,81.085228,2.6658158,1.9,"Non-poor",0,0,5.5571685,55.571686
"0103",8,8,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"None","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Yes","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.88854659,1925.1057,217.61374,2142.7195,37.917385,1.246599,1.9,"Poor",.34838489,.12137203,5.5571685,44.457348
"0106",11,8,3,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","Ventilated Improved Pit latrine (VIP)","No","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Agree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-.53117871,1532.1414,646.84766,2178.989,38.559208,1.2677,1.9,"Poor",.38170224,.14569661,5.5571685,61.128853
"0107",7,6,1,0,0,0,"Village 1","Yes",1,1,"Dung","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Fire","No",0,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","Not applicable","No","Not applicable","No","Not applicable","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Food Secure",-.76597577,1268.9485,197.78349,1466.7321,25.955168,.8533206,1.9,"Poor",.5516057,.30426884,5.5571685,38.900181
"0117",9,9,0,0,0,0,"Village 1","Yes",2,2,"Cement","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Fire","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Agree","Agree","Disagree","Disagree","Strongly agree","Strongly disagree","Agree","Agree","No","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Food Secure",-.05682662,3399.2625,232.5504,3631.8127,64.268257,2.1129291,1.9,"Non-poor",0,0,5.5571685,50.014515
"0118",5,5,0,0,0,0,"Village 1","Yes",1,1,"Cement","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","No facility / Bush / Field","No","Solar Energy","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","No","No","No, because it wasn't necessary.","Yes",,"No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Crisis",-.41419452,3754.2852,807.62531,4561.9106,80.727188,2.6540446,1.9,"Non-poor",0,0,5.5571685,27.785843
"0119",2,2,0,0,0,0,"Village 1","Yes",1,1,"Carpet","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","Yes","Pit latrine with slab","No","Solar Energy","No",0,"No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Yes","No","No, because it wasn't necessary.","Yes",,"No","No, because it wasn't necessary.","No","Not applicable","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","2 - 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",3.1469882,9813.6846,2283.5496,12097.234,214.07166,7.037972,1.9,"Non-poor",0,0,5.5571685,11.114337
"0125",7,7,0,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Stone with lime / cement","Public tap / Stand pipe","No","Pit latrine with slab","Yes","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Agree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Agree","No","Yes",,"No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Stress",-.05682662,4072.4639,1775.071,5847.5347,103.47749,3.4019997,1.9,"Non-poor",0,0,5.5571685,38.900181
"0127",8,5,3,0,0,0,"Village 1","Yes",1,1,"Earth / Sand","Corrugated iron sheets","Turkana Stone","Public tap / Stand pipe","Yes","No facility / Bush / Field",,"Fire","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","No","No","No, because I did not have this asset to sell.","No","Not applicable","No","No, because I did not have this asset to sell.","No","Not applicable","Yes",,"No","Not applicable","No","Not applicable","No","No, because I did not have this asset to sell.","No","No, because I did not have this asset to sell.","No","Not applicable","More than 4 Individuals Per Room","Improved drinking water","unimproved sanitation","Stress",-1.2295018,3319.7227,211.12721,3530.8499,62.481625,2.0541904,1.9,"Non-poor",0,0,5.5571685,44.457348
"0135",10,10,0,0,0,0,"Village 1","Yes",1,1,"Dung","Corrugated iron sheets","Plastic or tent material","Public tap / Stand pipe","No","Pit latrine with slab","No","Battery lamp/Torch/Phone","No",0,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Strongly agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","No","No","No, because it wasn't necessary.","No","Not applicable","Yes",,"No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","No","No, because it wasn't necessary.","More than 4 Individuals Per Room","Improved drinking water","improved sanitation","Crisis",-1.2295018,646.82654,213.49043,860.31696,15.224097,.50051826,1.9,"Poor",.73656934,.54253441,5.5571685,55.571686
